komentar,aspek,sentimen
"Pembangunan jalan di kampung sangat cepat, pelayanan top!",pembangunan,positif
Dana bantuan sosial belum diterima oleh warga setempat,bantuan sosial,negatif
Sekolah baru membuat suasana belajar lebih baik,pendidikan,positif
Pelayanan kesehatan di puskesmas lambat dan menyedihkan,pelayanan kesehatan,negatif
Program beasiswa membantu banyak siswa,pendidikan,positif
Proyek pembangunan menyebabkan kebisingan,pembangunan,negatif
Bantuan sosial sangat membantu keluarga saya,bantuan sosial,positif
Rumah sakit kebersihannya kurang terjaga,pelayanan kesehatan,negatif
Kurikulum baru membuat materi lebih relevan,pendidikan,positif
Pembangunan jembatan meningkatkan aksesibilitas,pembangunan,positif
Distribusi bantuan tidak merata,bantuan sosial,negatif
Tenaga medis kurang ramah,pelayanan kesehatan,negatif
Fasilitas belajar di sekolah semakin lengkap,pendidikan,positif
Pembangunan gedung selesai sesuai jadwal,pembangunan,positif
Koordinasi bantuan sosial perlu diperbaiki,bantuan sosial,negatif
Pelayanan imunisasi gratis sangat membantu,pelayanan kesehatan,positif
Kualitas pendidikan menurun karena kurang guru,pendidikan,negatif
Pembangunan saluran air mengurangi banjir,pembangunan,positif
Bantuan sosial sering terlambat datanya,bantuan sosial,negatif
Pelayanan kesehatan kini lebih cepat,pelayanan kesehatan,positif
Sekolah menyediakan fasilitas olahraga baru,pendidikan,positif
Proyek pembangunan menimbulkan masalah parkir,pembangunan,negatif
Distribusi bantuan sudah lebih baik sekarang,bantuan sosial,positif
Pelayanan kesehatan perlu peningkatan peralatan,pelayanan kesehatan,netral
Pendanaan untuk pendidikan sangat terbatas,pendidikan,negatif
Pembangunan taman kota sangat menyenangkan,pembangunan,positif
Bantuan sosial untuk lansia belum mencukupi,bantuan sosial,negatif
Pelayanan rumah sakit cukup memadai,pelayanan kesehatan,netral
Sekolah mengadakan seminar bermanfaat,pendidikan,positif
Pembangunan jalan masih banyak lubang,pembangunan,negatif
